Persona,Emocion,Tiempo_Inicio,Tiempo_Fin
1,anger,5.714041666666667,5.75575
1,anger,5.797458333333333,5.839166666666666
1,anger,5.839166666666666,5.880875
1,anger,6.006,6.0477083333333335
1,anger,6.0477083333333335,6.089416666666667
1,anger,6.131125,6.172833333333333
1,anger,6.172833333333333,6.214541666666666
1,anger,6.214541666666666,6.25625
1,anger,6.25625,6.297958333333333
1,anger,6.297958333333333,6.339666666666666
1,anger,6.339666666666666,6.381374999999999
1,anger,6.381374999999999,6.423083333333333
1,anger,6.423083333333333,6.464791666666666
2,anger,6.464791666666667,6.5065
2,anger,6.5065,6.548208333333333
2,anger,6.548208333333333,6.589916666666666
2,anger,6.589916666666666,6.631625
2,anger,6.631625,6.673333333333333
2,anger,6.715041666666666,6.756749999999999
2,anger,6.756749999999999,6.798458333333333
2,anger,6.798458333333334,6.840166666666668
2,anger,6.840166666666667,6.881875
2,anger,6.923583333333333,6.965291666666666
2,anger,6.965291666666666,7.007
2,anger,7.007,7.048708333333333
2,anger,7.048708333333333,7.090416666666666
2,disgust,7.215541666666667,7.25725
2,disgust,7.424083333333333,7.465791666666666
2,anger,12.303958333333332,12.345666666666666
2,anger,15.181833333333334,15.223541666666668
2,anger,15.223541666666666,15.26525
2,anger,15.26525,15.306958333333334
2,anger,15.306958333333332,15.348666666666666
2,anger,15.348666666666666,15.390375
2,anger,15.390374999999999,15.432083333333333
2,anger,15.5155,15.557208333333334
2,anger,15.557208333333334,15.598916666666668
2,anger,15.640625,15.682333333333334
2,anger,15.974291666666666,16.016
2,anger,16.099416666666666,16.141125
2,anger,16.349666666666668,16.391375
2,surprise,16.5165,16.558208333333333
1,disgust,16.975291666666667,17.017
1,disgust,17.017,17.058708333333332
1,disgust,17.183833333333332,17.225541666666665
1,disgust,17.308958333333333,17.350666666666665
1,disgust,17.350666666666665,17.392374999999998
1,anger,17.68433333333333,17.726041666666664
1,anger,17.726041666666667,17.76775
1,disgust,17.76775,17.809458333333332
1,anger,17.809458333333332,17.851166666666664
1,anger,17.851166666666668,17.892875
1,anger,17.892875,17.934583333333332
1,anger,17.934583333333332,17.976291666666665
1,anger,17.976291666666665,18.017999999999997
1,anger,18.018,18.059708333333333
1,anger,18.059708333333333,18.101416666666665
1,anger,18.101416666666665,18.143124999999998
1,anger,18.143124999999998,18.18483333333333
1,anger,18.26825,18.30995833333333
1,anger,18.309958333333334,18.351666666666667
3,disgust,21.396375,21.43808333333333
3,surprise,21.646625,21.688333333333333
1,anger,21.938583333333334,21.980291666666666
1,disgust,21.980291666666666,22.022
1,disgust,22.022,22.06370833333333
1,disgust,22.063708333333334,22.105416666666667
1,disgust,22.105416666666667,22.147125
1,disgust,22.147125,22.18883333333333
1,disgust,22.18883333333333,22.230541666666664
1,disgust,22.230541666666667,22.27225
1,disgust,22.27225,22.313958333333332
1,disgust,22.313958333333332,22.355666666666664
1,disgust,22.355666666666664,22.397374999999997
1,disgust,22.397375,22.439083333333333
1,disgust,22.439083333333333,22.480791666666665
1,disgust,22.480791666666665,22.522499999999997
1,disgust,22.5225,22.564208333333333
1,disgust,22.564208333333333,22.605916666666666
1,disgust,22.605916666666666,22.647624999999998
4,surprise,22.605916666666666,22.647624999999998
1,disgust,22.647624999999998,22.68933333333333
1,disgust,22.689333333333334,22.731041666666666
1,disgust,22.731041666666666,22.77275
1,disgust,22.77275,22.81445833333333
1,disgust,22.81445833333333,22.856166666666663
1,disgust,22.856166666666667,22.897875
1,disgust,22.897875,22.93958333333333
1,disgust,22.93958333333333,22.981291666666664
1,disgust,22.981291666666667,23.023
1,disgust,23.023,23.064708333333332
1,disgust,23.064708333333332,23.106416666666664
1,disgust,23.106416666666664,23.148124999999997
1,disgust,23.148125,23.189833333333333
1,disgust,23.189833333333333,23.231541666666665
1,disgust,23.231541666666665,23.273249999999997
1,disgust,23.27325,23.314958333333333
2,anger,25.025,25.06670833333333
2,anger,25.06670833333333,25.108416666666663
2,anger,25.108416666666667,25.150125
2,anger,25.150125,25.19183333333333
2,anger,25.19183333333333,25.233541666666664
2,anger,25.233541666666667,25.27525
2,anger,25.27525,25.316958333333332
2,anger,25.316958333333332,25.358666666666664
2,anger,25.358666666666664,25.400374999999997
2,anger,25.400375,25.442083333333333
2,anger,25.442083333333333,25.483791666666665
2,anger,25.483791666666665,25.525499999999997
2,anger,25.525499999999997,25.56720833333333
2,anger,25.567208333333333,25.608916666666666
2,anger,25.608916666666666,25.650624999999998
2,anger,25.650624999999998,25.69233333333333
2,anger,25.69233333333333,25.734041666666663
2,anger,25.734041666666666,25.77575
2,anger,25.77575,25.81745833333333
2,anger,25.81745833333333,25.859166666666663
2,anger,25.859166666666667,25.900875
2,anger,25.900875,25.94258333333333
2,anger,25.94258333333333,25.984291666666664
2,anger,25.984291666666667,26.026
2,anger,26.026,26.067708333333332
2,anger,26.067708333333332,26.109416666666664
2,anger,26.109416666666664,26.151124999999997
2,anger,26.151125,26.192833333333333
2,anger,26.192833333333333,26.234541666666665
2,anger,26.234541666666665,26.276249999999997
2,anger,26.276249999999997,26.31795833333333
2,anger,26.317958333333333,26.359666666666666
2,anger,26.359666666666666,26.401374999999998
2,anger,26.401374999999998,26.44308333333333
2,anger,26.443083333333337,26.48479166666667
2,anger,26.484791666666666,26.5265
2,anger,26.5265,26.56820833333333
2,anger,26.56820833333333,26.609916666666663
2,anger,26.609916666666667,26.651625
2,anger,26.651625,26.69333333333333
2,anger,26.69333333333333,26.735041666666664
2,anger,26.735041666666667,26.77675
2,anger,26.77675,26.818458333333332
2,anger,26.818458333333332,26.860166666666665
2,anger,26.860166666666665,26.901874999999997
2,anger,26.901875,26.943583333333333
2,anger,26.943583333333333,26.985291666666665
2,anger,26.985291666666665,27.026999999999997
2,anger,27.026999999999997,27.06870833333333
2,anger,27.068708333333333,27.110416666666666
2,anger,27.110416666666666,27.152124999999998
3,surprise,27.110416666666666,27.152124999999998
2,anger,27.152124999999998,27.19383333333333
2,anger,27.193833333333338,27.23554166666667
2,anger,27.235541666666666,27.27725
2,anger,27.27725,27.31895833333333
3,anger,27.27725,27.31895833333333
2,anger,27.31895833333333,27.360666666666663
2,anger,27.360666666666667,27.402375
2,anger,27.402375,27.44408333333333
5,anger,27.402375,27.44408333333333
2,anger,27.44408333333333,27.485791666666664
2,anger,27.485791666666668,27.5275
2,anger,27.5275,27.569208333333332
2,anger,27.569208333333332,27.610916666666665
2,anger,27.610916666666665,27.652624999999997
2,anger,27.652625,27.694333333333333
2,anger,27.694333333333333,27.736041666666665
2,anger,27.736041666666665,27.777749999999997
2,anger,27.777749999999997,27.81945833333333
2,anger,27.819458333333333,27.861166666666666
2,anger,27.861166666666666,27.902874999999998
3,disgust,29.070708333333332,29.112416666666665
3,disgust,29.237541666666665,29.279249999999998
3,disgust,29.320958333333333,29.362666666666666
3,disgust,29.446083333333334,29.487791666666666
3,disgust,29.487791666666666,29.5295
3,disgust,29.69633333333333,29.738041666666664
2,disgust,29.738041666666664,29.779749999999996
2,disgust,29.77975,29.821458333333332
2,disgust,29.821458333333332,29.863166666666665
1,disgust,29.863166666666665,29.904874999999997
1,disgust,29.904875,29.946583333333333
1,surprise,30.238541666666666,30.28025
1,disgust,42.45908333333334,42.50079166666667
4,anger,44.12741666666667,44.169125
3,anger,52.594208333333334,52.63591666666667
3,anger,52.63591666666667,52.677625
3,anger,52.71933333333333,52.761041666666664
3,disgust,52.761041666666664,52.802749999999996
3,disgust,52.802749999999996,52.84445833333333
3,anger,52.84445833333333,52.88616666666666
3,anger,52.886166666666675,52.92787500000001
3,anger,52.927875,52.96958333333333
3,anger,52.96958333333333,53.011291666666665
3,anger,53.011291666666665,53.053
3,anger,53.053,53.09470833333333
3,anger,53.09470833333333,53.13641666666666
